,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9
,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,SMITH,SMITH,SMITH,SMITH,SMITH,SMITH,NEITA,NEITA,NEITA,NEITA,NEITA,NEITA,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY
Time,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist
00:02.296,-88.079,9.07,7.515,1.690,10.794,12.057,-89.144,7.85,7.371,1.837,10.482,10.991,-87.767,6.63,7.870,1.694,10.896,12.369,-88.795,5.41,7.522,2.147,10.188,11.340,-88.406,4.19,7.525,2.003,10.405,11.729,-88.142,2.97,7.776,1.960,10.606,11.993,-88.144,1.75,7.738,2.017,10.504,11.991,-89.186,0.53,7.498,2.018,10.321,10.949
00:02.396,-87.257,9.07,7.673,1.587,12.468,12.879,-88.331,7.85,7.561,1.684,12.124,11.804,-86.914,6.63,8.077,1.707,12.695,13.222,-87.896,5.41,7.717,2.071,11.708,12.240,-87.55,4.19,7.744,2.117,12.100,12.586,-87.321,2.97,7.995,1.981,12.345,12.815,-87.305,1.75,7.929,1.894,12.257,12.831,-88.342,0.53,7.695,1.909,11.983,11.786
00:02.496,-86.46,9.07,7.841,1.618,12.468,13.676,-87.438,7.85,7.726,1.517,12.124,12.698,-85.983,6.63,8.288,1.737,12.695,14.154,-87.046,5.41,7.898,1.973,11.708,13.090,-86.674,4.19,7.899,1.867,12.100,13.462,-86.411,2.97,8.189,1.866,12.345,13.725,-86.384,1.75,8.153,2.025,12.257,13.752,-87.465,0.53,7.887,1.868,11.983,12.671
00:02.596,-85.567,9.07,8.009,1.648,14.089,14.570,-86.622,7.85,7.890,1.350,13.833,13.514,-85.122,6.63,8.498,1.768,14.480,15.015,-86.19,5.41,8.079,1.875,13.458,13.946,-85.811,4.19,8.053,1.617,13.833,14.326,-85.587,2.97,8.382,1.751,14.076,14.550,-85.544,1.75,8.378,2.156,14.017,14.593,-86.635,0.53,8.062,1.805,13.690,13.494
00:02.696,-84.714,9.07,8.149,1.547,14.089,15.423,-85.669,7.85,8.024,1.162,13.833,14.468,-84.232,6.63,8.655,1.576,14.480,15.905,-85.361,5.41,8.238,1.791,13.458,14.776,-84.891,4.19,8.207,1.590,13.833,15.246,-84.684,2.97,8.535,1.525,14.076,15.453,-84.867,1.75,8.542,1.957,14.017,15.270,-85.774,0.53,8.213,1.628,13.690,14.363
00:02.796,-83.895,9.07,8.257,1.374,15.837,16.243,-84.767,7.85,8.149,1.011,13.833,15.370,-83.3,6.63,8.788,1.374,16.231,16.838,-84.48,5.41,8.380,1.691,15.144,15.650,-83.986,4.19,8.349,1.577,15.619,16.152,-83.795,2.97,8.689,1.416,15.804,16.343,-83.996,1.75,8.675,1.693,15.534,16.142,-84.914,0.53,8.339,1.417,15.418,15.223
00:02.896,-83.043,9.07,8.380,1.237,15.837,17.095,-83.82,7.85,8.289,0.949,15.705,16.318,-82.331,6.63,8.929,1.202,16.231,17.807,-83.557,5.41,8.511,1.506,15.144,16.581,-83.179,4.19,8.529,1.689,15.619,16.959,-82.853,2.97,8.865,1.418,15.804,17.285,-83.089,1.75,8.795,1.369,15.534,17.049,-84.028,0.53,8.465,1.204,15.418,16.110
00:02.996,-82.198,9.07,8.496,1.190,17.507,17.940,-82.984,7.85,8.402,0.889,17.469,17.154,-81.519,6.63,9.048,1.116,18.133,18.620,-82.605,5.41,8.655,1.553,16.948,17.533,-82.361,4.19,8.673,1.616,17.330,17.777,-82.022,2.97,8.995,1.302,17.635,18.109,-82.127,1.75,8.894,1.256,17.312,18.012,-83.15,0.53,8.542,1.077,17.174,16.988
00:03.097,-81.382,9.07,8.598,1.019,17.507,18.757,-82.123,7.85,8.530,0.852,17.469,18.016,-80.572,6.63,9.165,0.967,18.133,19.567,-81.756,5.41,8.797,1.478,16.948,18.383,-81.546,4.19,8.813,1.471,17.330,18.593,-81.113,2.97,9.126,1.157,17.635,19.026,-81.27,1.75,8.981,1.021,17.312,18.869,-82.235,0.53,8.622,0.923,17.174,17.903
00:03.196,-80.63,9.07,8.688,0.932,19.171,19.509,-81.236,7.85,8.651,0.925,19.222,18.903,-79.704,6.63,9.266,0.900,19.893,20.436,-80.88,5.41,8.908,1.350,18.750,19.259,-80.635,4.19,8.918,1.292,18.956,19.504,-80.173,2.97,9.248,1.095,19.377,19.966,-80.291,1.75,9.075,1.008,19.140,19.848,-81.374,0.53,8.721,0.984,18.948,18.757
00:03.296,-79.71,9.07,8.800,0.895,19.171,20.430,-80.384,7.85,8.761,0.836,19.222,19.755,-78.77,6.63,9.357,0.754,19.893,21.370,-80.05,5.41,8.987,1.125,18.750,20.090,-79.78,4.19,8.997,1.078,18.956,20.360,-79.27,2.97,9.338,0.902,19.377,20.870,-79.354,1.75,9.178,1.045,19.140,20.786,-80.483,0.53,8.811,0.974,18.948,19.656
00:03.396,-78.863,9.07,8.912,0.901,20.845,21.277,-79.486,7.85,8.858,0.719,20.976,20.654,-77.895,6.63,9.447,0.607,21.695,22.246,-79.158,5.41,9.065,0.899,20.458,20.982,-78.856,4.19,9.077,0.864,20.730,21.284,-78.317,2.97,9.428,0.710,21.220,21.823,-78.404,1.75,9.281,1.082,21.048,21.736,-79.633,0.53,8.900,1.005,20.689,20.498
00:03.496,-77.987,9.07,8.998,0.733,22.560,22.154,-78.508,7.85,8.952,0.655,20.976,21.632,-76.859,6.63,9.514,0.445,23.589,23.282,-78.16,5.41,9.148,0.856,22.331,21.980,-77.954,4.19,9.164,0.841,22.540,22.187,-77.28,2.97,9.515,0.672,23.202,22.861,-77.533,1.75,9.336,0.863,22.861,22.608,-78.812,0.53,8.961,0.823,20.689,21.320
